"clusterID_seq","window_type","watershed","year","window_length","catchment_km2","riparian_area_m2","TO","p_window","f_window","beav_count_all","beav_count_conf","anthro_count","isAnthro","Nhat","t","SWA","VA","NDVI","NDVI_sd","containsNull"
1,"dammed","UBV",2023,290,2213.4539,2488.49380369484,31.1359431746565,0.904912417178559,0.0223651838110735,2,2,0,0,2.26072006276547,"5",0,14305.5761677162,0.395497219525863,0.0591416944573401,0
1,"dammed","UBV",2023,290,2213.4539,2488.49380369484,31.1359431746565,0.904912417178559,0.0223651838110735,2,2,0,0,2.26072006276547,"6",0,13255.6836983774,0.393535327554958,0.055289425161468,0
1,"dammed","UBV",2023,290,2213.4539,2488.49380369484,31.1359431746565,0.904912417178559,0.0223651838110735,2,2,0,0,2.26072006276547,"7",0,12227.0413341747,0.365808542122463,0.0356278337605906,0
1,"dammed","UBV",2023,290,2213.4539,2488.49380369484,31.1359431746565,0.904912417178559,0.0223651838110735,2,2,0,0,2.26072006276547,"8",0,13549.9478641585,0.369617311172725,0.0482897677060445,0
1,"undammed","UBV",2023,290,2213.4539,3810.94290931523,31.0923702031507,0.904912417178559,0.0223651838110735,0,0,0,0,0,"5",0,15413.9427244299,0.364814776358236,0.0404569269160371,0
1,"undammed","UBV",2023,290,2213.4539,3810.94290931523,31.0923702031507,0.904912417178559,0.0223651838110735,0,0,0,0,0,"6",0,14757.7440076342,0.369200377155417,0.0408228104565417,0
1,"undammed","UBV",2023,290,2213.4539,3810.94290931523,31.0923702031507,0.904912417178559,0.0223651838110735,0,0,0,0,0,"7",0,14930.0591562309,0.337103093172541,0.0314603908382419,0
1,"undammed","UBV",2023,290,2213.4539,3810.94290931523,31.0923702031507,0.904912417178559,0.0223651838110735,0,0,0,0,0,"8",0,15520.1702740239,0.342245853384641,0.0349364848962045,0
4,"dammed","UBV",2023,250,2213.4539,4448.50841443241,33.5428096358007,0.900668486927604,0.0232860577242285,1,1,0,0,1.13675702075356,"5",NA,NA,NA,NA,1
4,"dammed","UBV",2023,250,2213.4539,4448.50841443241,33.5428096358007,0.900668486927604,0.0232860577242285,1,1,0,0,1.13675702075356,"6",0,13934.7558666454,0.372143097068454,0.0407708826665444,0
4,"dammed","UBV",2023,250,2213.4539,4448.50841443241,33.5428096358007,0.900668486927604,0.0232860577242285,1,1,0,0,1.13675702075356,"7",0,13256.654949263,0.339303151079429,0.0315605806999286,0
4,"dammed","UBV",2023,250,2213.4539,4448.50841443241,33.5428096358007,0.900668486927604,0.0232860577242285,1,1,0,0,1.13675702075356,"8",0,13312.2690935621,0.350730808102722,0.0331800367751611,0
4,"undammed","UBV",2023,250,2213.4539,4628.98940950632,38.4830046928107,0.904912417178559,0.0223651838110735,0,0,0,0,0,"5",NA,NA,NA,NA,1
4,"undammed","UBV",2023,250,2213.4539,4628.98940950632,38.4830046928107,0.904912417178559,0.0223651838110735,0,0,0,0,0,"6",0,15639.3269431619,0.375240380936113,0.0348454125325163,0
4,"undammed","UBV",2023,250,2213.4539,4628.98940950632,38.4830046928107,0.904912417178559,0.0223651838110735,0,0,0,0,0,"7",0,14469.4107484705,0.349960408320096,0.0400502684664146,0
4,"undammed","UBV",2023,250,2213.4539,4628.98940950632,38.4830046928107,0.904912417178559,0.0223651838110735,0,0,0,0,0,"8",0,14877.0526115567,0.347124278583313,0.0324278412227932,0
5,"dammed","UBV",2023,250,1536.0673,3646.06784006953,35.9488304368755,0.895008488885294,0.0213770250996289,1,1,0,0,1.1417142934335,"5",NA,NA,NA,NA,1
