"clusterID_seq","window_type","watershed","year","window_length","catchment_km2","riparian_area_m2","TO","p_window","f_window","beav_count_all","beav_count_conf","anthro_count","isAnthro","Nhat","t","SWA","VA_0","VA_10","VA_20","VA_30","NDVI_0","NDVI_10","NDVI_20","NDVI_30","NDVI_sd_0","NDVI_sd_10","NDVI_sd_20","NDVI_sd_30","containsNull"
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"6",192.334758949046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"7",68.6993502630907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"dammed","UBV",2021,250,2213.4539,2178.36575700343,32.0689847791141,0.922131719843467,0.0248182266203477,1,0,0,0,1.1120426991242,"8",267.890024752477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"undammed","UBV",2021,250,2213.4539,3977.23939602077,35.8522193198582,0.922131719843467,0.0248182266203477,0,0,0,0,0,"8",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,"dammed","UBV",2021,250,2213.4539,2621.1023350358,31.1615548170916,0.922131719843467,0.0248182266203477,1,1,0,0,1.1120426991242,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,"dammed","UBV",2021,250,2213.4539,2621.1023350358,31.1615548170916,0.922131719843467,0.0248182266203477,1,1,0,0,1.1120426991242,"6",265.872281109118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
