system:index,Input_FID,NDVI_mean_veg21_5,NDVI_mean_veg21_6,NDVI_mean_veg21_7,NDVI_mean_veg21_8,Shape_Area,Shape_Leng,Veg_area_m2_veg21_5,Veg_area_m2_veg21_6,Veg_area_m2_veg21_7,Veg_area_m2_veg21_8,.geo
00000000000000000000,18079,,0.2647146977355714,0.43395755947881626,0.4963669485371138,1879.3647106,248.061070867,0.0,1875.611851411707,1875.611851411707,1875.611851411707,"{""type"":""Polygon"",""coordinates"":[[[-108.35519477591495,47.91275508079081],[-108.35518815312777,47.91275531553286],[-108.3551615682182,47.91275611392332],[-108.35513503821733,47.91275682522149],[-108.35510883144673,47.91276208657514],[-108.35508262467609,47.91276734792212],[-108.35505637102322,47.912772538975794],[-108.35491273303914,47.9128124732208],[-108.35522419543392,47.91372358209503],[-108.35537378563413,47.912749880865746],[-108.35519477591495,47.91275508079081]]]}"
00000000000000000001,18078,,0.26352066407170294,0.43513117180407423,0.4930140488219127,1331.09027477,273.72714712,0.0,1352.7190384808705,1352.7190384808705,1352.7190384808705,"{""type"":""Polygon"",""coordinates"":[[[-108.35491273303914,47.9128124732208],[-108.3548605489105,47.91282740530742],[-108.3548343421284,47.91283266659287],[-108.35481503442864,47.91284217294111],[-108.35478905706285,47.91285184371493],[-108.3547697493507,47.912861350057824],[-108.3547633559895,47.912865994271186],[-108.35475044163255,47.91287085639867],[-108.35472395854106,47.91287163786988],[-108.35469732678989,47.91287236584436],[-108.35469070401417,47.91287260055201],[-108.35523862495414,47.91394646020451],[-108.35522419543392,47.91372358209503],[-108.35491273303914,47.9128124732208]]]}"
00000000000000000002,18080,,0.2434868307096985,0.4073629833474802,0.4628978887680606,1427.27887919,291.906158847,0.0,1373.7615963206574,1405.3243404612824,1405.3243404612824,"{""type"":""Polygon"",""coordinates"":[[[-108.35552025042831,47.91275449923332],[-108.35550005873274,47.91275065346782],[-108.35547357552916,47.91275143514891],[-108.35544709233199,47.91275221682247],[-108.35542685377787,47.9127483007546],[-108.35537378563413,47.912749880865746],[-108.35522419543392,47.91372358209503],[-108.35523862495414,47.91394646020451],[-108.35524761546563,47.913981960600964],[-108.35559406317688,47.912765724335024],[-108.35552025042831,47.91275449923332]]]}"
00000000000000000003,18103,,0.23953276381708768,0.405994492916142,0.46889387433382257,3214.12385413,251.764474364,0.0,2938.752101853314,3212.296770013547,3212.296770013547,"{""type"":""Polygon"",""coordinates"":[[[-108.35841697356929,47.91275014726756],[-108.35840368069049,47.91275054692597],[-108.35838371793025,47.91275111126765],[-108.35835723396903,47.91275189377139],[-108.35833102674857,47.912757156024306],[-108.3583047726382,47.912762347985726],[-108.3582785654177,47.91276761022523],[-108.35821971093071,47.912782708832445],[-108.358132602442,47.912771885459385],[-108.3581124648032,47.912767953182566],[-108.35808587911474,47.91276875241088],[-108.35805911851807,47.91276505507086],[-108.3580458256811,47.91276545467828],[-108.35782030974175,47.91277209342361],[-108.3578071187201,47.91277247619586],[-108.35778053310882,47.91277327533689],[-108.35775404929036,47.912774057669296],[-108.35772779525051,47.912779249471264],[-108.35770821105393,47.91278427663009],[-108.35768200390177,47.912789538705624],[-108.35767533405937,47.91278970334018],[-108.35748618002204,47.91284441050876],[-108.35746659580907,47.91284943762456],[-108.35745992597045,47.91284960224409],[-108.35819496790207,47.913426678104976],[-108.3585826492012,47.91274527052931],[-108.35841697356929,47.91275014726756]]]}"
00000000000000000004,18076,,0.2535238233176981,0.4149013543139228,0.45790190788534146,1531.47042028,324.318611905,0.0,1410.581388466031,1528.1514468623145,1528.1514468623145,"{""type"":""Polygon"",""coordinates"":[[[-108.35525331524887,47.914071139668664],[-108.35445923450554,47.9128882512814],[-108.35443959559571,47.912893364857176],[-108.35441306568922,47.91289407595332],[-108.35438713517547,47.91290381691488],[-108.35438046553355,47.91290398131352],[-108.35423030638184,47.912944132521595],[-108.35527124946793,47.91414207036249],[-108.35525331524887,47.914071139668664]]]}"
00000000000000000005,18088,,0.21136866966003953,0.3516560455437486,0.39989436321568644,1780.52852588,253.071083175,0.0,701.2167296764896,1791.7056160721124,1791.7056160721124,"{""type"":""Polygon"",""coordinates"":[[[-108.35652088255313,47.91281460569199],[-108.3565139362715,47.912810290470695],[-108.35648762748323,47.912815569015486],[-108.35646114397447,47.91281635098045],[-108.35643489008949,47.91282154242563],[-108.35640868309001,47.912826804150036],[-108.3563824292051,47.91283199558177],[-108.35637580632759,47.91283223040922],[-108.35632362193392,47.91284716331141],[-108.3563169521723,47.91284732784879],[-108.35630365953553,47.91284772720813],[-108.35612287910634,47.91282622445507],[-108.35610931003941,47.91282214401021],[-108.35608282662537,47.91282292586747],[-108.35606953402805,47.912823325192875],[-108.35641734166879,47.91378242998653],[-108.35652740365121,47.91281438765406],[-108.35652088255313,47.91281460569199]]]}"
00000000000000000006,18105,,0.236514325312705,0.39297575430973164,0.45428566665942294,865.784026222,217.400742572,0.0,717.7855430752624,839.3021617216223,839.3021617216223,"{""type"":""Polygon"",""coordinates"":[[[-108.35871597515822,47.91275033700035],[-108.3587093052535,47.912750501708906],[-108.35824575482012,47.913594945449226],[-108.35826187809883,47.91363909965401],[-108.35855535864053,47.91334916545811],[-108.35876959863594,47.91275771448639],[-108.35871597515822,47.91275033700035]]]}"
00000000000000000007,18089,,0.21438967351652477,0.357205502540724,0.4100984617947453,1391.41961574,303.790011359,0.0,761.708405648026,1335.8844335219442,1335.8844335219442,"{""type"":""Polygon"",""coordinates"":[[[-108.35652740365121,47.91281438765406],[-108.35641734166879,47.91378242998653],[-108.35645109756209,47.91409863771902],[-108.35672643337958,47.91280853407803],[-108.35652740365121,47.91281438765406]]]}"
00000000000000000008,18104,,0.23516878629024135,0.3907512645040035,0.45423554213724854,875.046921149,209.62637839,0.0,705.423964466768,876.1262984930297,876.1262984930297,"{""type"":""Polygon"",""coordinates"":[[[-108.35870268223998,47.91275073670156],[-108.35867581963186,47.9127470563442],[-108.35864933559678,47.91274783893115],[-108.35863576591659,47.91274375886872],[-108.3585826492012,47.91274527052931],[-108.35819496790207,47.913426678104976],[-108.35822319138921,47.91355536549861],[-108.35824575482012,47.913594945449226],[-108.3587093052535,47.912750501708906],[-108.35870268223998,47.91275073670156]]]}"
00000000000000000009,18081,,0.2317834234213686,0.3858190961763296,0.43421605564034377,1522.30447594,334.444487721,0.0,1307.21140833836,1534.2000192380422,1534.2000192380422,"{""type"":""Polygon"",""coordinates"":[[[-108.35573534256929,47.912792888922745],[-108.35571487436984,47.91278456342716],[-108.35568811467391,47.91278086539563],[-108.35566125320582,47.912777184155246],[-108.35566097679707,47.91277270438078],[-108.35559406317688,47.912765724335024],[-108.35524761546563,47.913981960600964],[-108.35525331524887,47.914071139668664],[-108.35527124946793,47.91414207036249],[-108.35528819798219,47.91419966533315],[-108.35575558124579,47.91279680492519],[-108.35573534256929,47.912792888922745]]]}"
0000000000000000000a,18071,,0.24170463864106823,0.4090389638288535,0.4377259168953596,1572.09775008,334.54546285,0.0,1574.6926127714266,1575.744690240598,1575.744690240598,"{""type"":""Polygon"",""coordinates"":[[[-108.35372972458353,47.913217821816914],[-108.35361206311555,47.91324808390112],[-108.35360539346443,47.9132482482467],[-108.3536056696202,47.913252728074674],[-108.35485664774538,47.91440883633334],[-108.354894886727,47.914385359880825],[-108.35490128035828,47.9143807155157],[-108.3549203125725,47.91436672893019],[-108.35493939165946,47.9143528126337],[-108.35495180080062,47.91433906078814],[-108.35372972458353,47.913217821816914]]]}"
0000000000000000000b,18073,,0.23877406751930008,0.40384058168933373,0.4298817583855589,1559.71324575,332.406846527,0.0,1449.4985955631032,1568.1203602809533,1568.1203602809533,"{""type"":""Polygon"",""coordinates"":[[[-108.35390238313856,47.91311450402787],[-108.35388946870086,47.913119366063725],[-108.35382080114535,47.913188357626844],[-108.35509363010696,47.9142723495906],[-108.35510654496639,47.91426748727234],[-108.35521703463957,47.91422849759412],[-108.35390238313856,47.91311450402787]]]}"
0000000000000000000c,18075,,0.24733478822062194,0.4076121109344429,0.4458975783451418,1583.2220903,338.745683489,0.0,1461.0787767896468,1589.958604251637,1589.958604251637,"{""type"":""Polygon"",""coordinates"":[[[-108.35527124946793,47.91414207036249],[-108.35423030638184,47.912944132521595],[-108.35420432895538,47.91295380315618],[-108.35419131278763,47.912958682013844],[-108.35416533535158,47.91296835264074],[-108.35414575132506,47.91297337907966],[-108.35412015188383,47.91298751270188],[-108.3541138053441,47.912992227171785],[-108.35404281879947,47.913025554424934],[-108.35527528314526,47.91420452766916],[-108.35528819798219,47.91419966533315],[-108.35527124946793,47.91414207036249]]]}"
0000000000000000000d,18077,,0.2510045668583806,0.41944720646634565,0.46808589928235506,1432.54237445,302.611428964,0.0,1396.6417744356045,1410.8448687385114,1410.8448687385114,"{""type"":""Polygon"",""coordinates"":[[[-108.35523862495414,47.91394646020451],[-108.35469070401417,47.91287260055201],[-108.35467751336719,47.912872982881204],[-108.35449200913501,47.91288284248555],[-108.35446580236538,47.91288810367471],[-108.35445923450554,47.9128882512814],[-108.35525331524887,47.914071139668664],[-108.35524761546563,47.913981960600964],[-108.35523862495414,47.91394646020451]]]}"
0000000000000000000e,18112,,0.2395962054899761,0.3994022804498673,0.4465626076119287,466.659560042,138.447782633,0.0,460.2822914871515,460.2822914871515,460.2822914871515,"{""type"":""Polygon"",""coordinates"":[[[-108.35893108330106,47.91371332249781],[-108.35815645439783,47.91395939944302],[-108.35815033772866,47.913968523845355],[-108.35876936597089,47.91388335203128],[-108.35887952331973,47.91383996564194],[-108.35895076987633,47.913708278179314],[-108.35893108330106,47.91371332249781]]]}"
0000000000000000000f,18107,,0.24103429777343982,0.40032285206501966,0.4573557192179867,1873.10785668,212.171337327,0.0,1652.0419646618413,1894.2864987242456,1894.2864987242456,"{""type"":""Polygon"",""coordinates"":[[[-108.35918332924157,47.9128885385159],[-108.35916258263951,47.91287573402501],[-108.35914183605573,47.9128629295323],[-108.3591210894902,47.91285012503774],[-108.35910061977074,47.91284180030074],[-108.35910024115553,47.91283733734387],[-108.35903193221938,47.91280811837353],[-108.35901846420839,47.91280402156157],[-108.35899132462646,47.91279586153728],[-108.35897085499238,47.91278753677885],[-108.3589437154461,47.912779376742655],[-108.35892352264808,47.912775531730574],[-108.35889676172457,47.9127718346342],[-108.35888319197326,47.91276775460702],[-108.35876959863594,47.91275771448639],[-108.35855535864053,47.91334916545811],[-108.3586087010783,47.91355750625682],[-108.35919060777508,47.91289724621195],[-108.35918332924157,47.9128885385159]]]}"
00000000000000000010,18106,,0.2342531507665461,0.36759977365277485,0.41483839280770674,562.341248757,112.027935545,0.0,520.7791285795324,561.2843184826421,561.2843184826421,"{""type"":""Polygon"",""coordinates"":[[[-108.35855535864053,47.91334916545811],[-108.35826187809883,47.91363909965401],[-108.35826338743497,47.91376416049849],[-108.35857930902769,47.913616430046154],[-108.35859861697193,47.91360692278527],[-108.3586087010783,47.91355750625682],[-108.35855535864053,47.91334916545811]]]}"
00000000000000000011,18099,,0.2211307846539393,0.36873123802533125,0.4081290417805499,1108.94016407,258.877023609,0.0,832.4556758207433,1114.1516432818244,1114.1516432818244,"{""type"":""Polygon"",""coordinates"":[[[-108.35744495437173,47.91302872154632],[-108.35745045171996,47.91321616663982],[-108.3580646883025,47.91408269157654],[-108.35815056754431,47.91397293342177],[-108.35744495437173,47.91302872154632]]]}"
00000000000000000012,18095,,0.22300529361399285,0.3815841375713976,0.42337470233576274,821.895915946,243.609683057,0.0,723.8283843395756,807.7320691576191,807.7320691576191,"{""type"":""Polygon"",""coordinates"":[[[-108.35711949135866,47.91374854421873],[-108.35698685824978,47.91426605855908],[-108.35745650227612,47.913412572048195],[-108.35745100496949,47.91322512624434],[-108.35711949135866,47.91374854421873]]]}"
00000000000000000013,18109,,0.2583210653853867,0.42586982127490935,0.49915859762785963,1915.46199317,218.683663511,0.0,1909.792269119562,1909.792269119562,1909.792269119562,"{""type"":""Polygon"",""coordinates"":[[[-108.35973496937683,47.91319844805991],[-108.35972228486453,47.91320772040077],[-108.35961333875987,47.913269009556764],[-108.35958558988615,47.9132519771481],[-108.3595648428705,47.91323917266585],[-108.35954437275309,47.9132308479721],[-108.3595236257715,47.913218043485195],[-108.35951033258134,47.91321844330989],[-108.3594354541236,47.913189372413306],[-108.35860501025766,47.913602278249556],[-108.35929499314774,47.91358653787237],[-108.35956949284757,47.91351594368436],[-108.35958245437169,47.91351115111988],[-108.35963815475263,47.91344694767744],[-108.35974788389565,47.91319358522046],[-108.35973496937683,47.91319844805991]]]}"
00000000000000000014,18102,,0.22127269704310842,0.38693891316126294,0.4462995592521648,1036.07407843,204.511888344,0.0,949.2454357969997,1043.1444319481943,1043.1444319481943,"{""type"":""Polygon"",""coordinates"":[[[-108.35819496790207,47.913426678104976],[-108.35745992597045,47.91284960224409],[-108.35744061838201,47.91285910912585],[-108.35742103416464,47.91286413623379],[-108.35740200318708,47.91287812288329],[-108.35738898701544,47.91288300217175],[-108.35744434622298,47.91301984906211],[-108.35761306870606,47.913162328493556],[-108.35822319138921,47.91355536549861],[-108.35819496790207,47.913426678104976]]]}"
00000000000000000015,18091,,0.2188101218299131,0.3667773750471021,0.42160018741452654,1559.77097021,337.223383725,0.0,822.4658145081763,1563.1348049388212,1563.1348049388212,"{""type"":""Polygon"",""coordinates"":[[[-108.35708137472311,47.91285177173007],[-108.3570678054042,47.912847691426435],[-108.35704071366794,47.912839601099556],[-108.35701385163749,47.912835920251545],[-108.35699371432305,47.91283198772461],[-108.35697352211785,47.91282814227931],[-108.35687322413003,47.912817700359085],[-108.35654661011638,47.914238770084395],[-108.35708250198965,47.912972367806844],[-108.35710184355904,47.912860096925996],[-108.35708137472311,47.91285177173007]]]}"
00000000000000000016,18069,,0.2354711863650741,0.4067264795646183,0.43974127438387733,1612.54457375,341.562630132,0.0,1566.5350354961313,1600.4644180896228,1600.4644180896228,"{""type"":""Polygon"",""coordinates"":[[[-108.35355348507501,47.913267659581166],[-108.35354057058593,47.9132725215853],[-108.35351459293882,47.91328219209826],[-108.35350830121692,47.913286819472],[-108.35346329168672,47.91331047597947],[-108.35455325406485,47.9145472314913],[-108.3546640207861,47.91451272215684],[-108.35468332939291,47.91450321551003],[-108.3546965206135,47.91450283315339],[-108.35355348507501,47.913267659581166]]]}"
00000000000000000017,18094,,0.21705476681391397,0.3700616413395084,0.41917334775663234,1842.08747884,223.979237765,0.0,493.16484587426277,1832.4715782614314,1832.4715782614314,"{""type"":""Polygon"",""coordinates"":[[[-108.35738898701544,47.91288300217175],[-108.35735671812797,47.91289730124513],[-108.35734342533661,47.912897700754186],[-108.35722404875844,47.91290117556325],[-108.35710184355904,47.912860096925996],[-108.35708250198965,47.912972367806844],[-108.35706434231224,47.91320514846554],[-108.35711949135866,47.91374854421873],[-108.35745100496949,47.91322512624434],[-108.35745045171996,47.91321616663982],[-108.35744495437173,47.91302872154632],[-108.35744434622298,47.91301984906211],[-108.35738898701544,47.91288300217175]]]}"
