system:index,Input_FID,NDVI_mean_veg19_3,NDVI_mean_veg19_4,NDVI_mean_veg19_5,NDVI_mean_veg19_6,NDVI_mean_veg19_7,NDVI_mean_veg19_8,NDVI_sd_veg19_3,NDVI_sd_veg19_4,NDVI_sd_veg19_5,NDVI_sd_veg19_6,NDVI_sd_veg19_7,NDVI_sd_veg19_8,Shape_Area,Shape_Leng,Veg_area_m2_veg19_3,Veg_area_m2_veg19_4,Veg_area_m2_veg19_5,Veg_area_m2_veg19_6,Veg_area_m2_veg19_7,Veg_area_m2_veg19_8,.geo
00000000000000000000,2898,0.38049258521241597,0.3360561455307691,0.3446779632455364,0.30547196039410884,0.3168036511159056,0.2843741143491411,0.07366784316637388,0.10792141093341509,0.057699392013379716,0.07499925346854203,0.04645864973131016,0.047937025435472194,417.673696884,116.554443349,221.60845444623163,358.93244278851677,221.60845444623163,288.3011688232422,221.60845444623163,398.8430857041303,"{""type"":""Polygon"",""coordinates"":[[[-107.02137533649423,48.00304691258058],[-107.02139653710641,48.003077755636475],[-107.02195181638757,48.00332257289653],[-107.0219766970185,48.00327748040316],[-107.02199317881279,48.0031878501658],[-107.02137533649423,48.00304691258058]]]}"
00000000000000000001,2991,0.27310869676243726,0.2587813588097424,0.20346517340649392,0.19984457491253604,0.20947995985982884,0.22205767856409905,0.024768227034442154,0.01787159743869059,0.01892316906869493,0.016790354927756636,0.018282548534868975,0.008316367214815826,694.118425873,152.673263055,500.49308079738245,540.1439760694317,210.59572972316366,596.3379600973691,260.75038523954504,502.8563791910807,"{""type"":""Polygon"",""coordinates"":[[[-107.025405394462,47.99940279028808],[-107.02541247270248,47.999411590808876],[-107.02542158835573,47.999473984098856],[-107.02541489517849,47.99947406987963],[-107.02540874419293,47.99948760719631],[-107.02539621556332,47.99950569361545],[-107.02539023520463,47.999523638542485],[-107.02537760544519,47.999541740368045],[-107.02537141064269,47.99955520658642],[-107.02537212345474,47.99957306575158],[-107.02536628797372,47.999591066419114],[-107.02536689967252,47.999608940992516],[-107.02536749916294,47.999622306054235],[-107.0261881981516,47.99933982678194],[-107.025405394462,47.99940279028808]]]}"
00000000000000000002,3627,0.3102716611315305,0.33733389702831157,0.31124659471912075,0.32251947903363026,0.32091367559829126,0.4042918030389581,0.09470636505704044,0.09903322989279828,0.11164531263374465,0.11145256283545203,0.11993516896002701,0.07100344850813055,771.079051827,184.853182674,637.39363786286,765.0299706552544,765.0299706552544,765.0299706552544,765.0299706552544,698.8481684666053,"{""type"":""Polygon"",""coordinates"":[[[-107.06843634089901,47.99161903182597],[-107.06781807287378,47.99213042005933],[-107.06782506223448,47.99213923135532],[-107.0678389223858,47.99215236065498],[-107.06785955222246,47.99216982339687],[-107.06787335516889,47.99218303921944],[-107.067893866458,47.992196008664706],[-107.06791410082285,47.992204586768906],[-107.06792778521752,47.99221330929158],[-107.06842195300484,47.99175773640775],[-107.06854668220289,47.99155007059908],[-107.06843634089901,47.99161903182597]]]}"
00000000000000000003,90,0.35880978174612554,0.22203065942395464,0.36827574831219345,0.37254288680676567,0.3230579571791815,0.30146807146942145,0.03654563469237252,0.06978428523474749,0.01426066801436751,0.019817427539328823,0.050501144530949435,0.062469436701135854,933.418564604,140.320074442,56.00665525548598,507.21356344784,56.00665525548598,56.00665525548598,73.88672524246515,612.6529974843941,"{""type"":""Polygon"",""coordinates"":[[[-106.86818367318017,47.929021277380365],[-106.86749719165441,47.92914856508064],[-106.86749728635797,47.92915305377956],[-106.86752583197168,47.92920620067256],[-106.86752598413428,47.92921060307366],[-106.86753309535176,47.929223893605204],[-106.86754707092865,47.92924158356533],[-106.86756080766813,47.929254728921556],[-106.86757454441901,47.92926787427884],[-106.86762285798096,47.92931625439491],[-106.86763668950296,47.92933388847152],[-106.86765719599288,47.92934694454709],[-106.86767097616709,47.92936016101313],[-106.86769118636684,47.929368758773435],[-106.86771159210731,47.929381830046616],[-106.8677384278821,47.929390282606334],[-106.86819132807781,47.9290479171612],[-106.86819068986799,47.929030079122505],[-106.86818367318017,47.929021277380365]]]}"
00000000000000000004,1978,0.4562019813721483,0.4772186485147969,0.4572530248585871,0.4510429425011086,0.42866853745219335,0.4165761419997742,0.07406382520362435,0.07495139616225974,0.08128689465441191,0.08416190542155652,0.07626070682114988,0.053417084291566656,487.485154405,127.875619347,336.5237242754768,433.1987810621074,433.1987810621074,359.11629821178957,433.1987810621074,359.11629821178957,"{""type"":""Polygon"",""coordinates"":[[[-106.97637000703818,47.976313123942525],[-106.97629072736581,47.976327880637555],[-106.97683168254079,47.97655972741408],[-106.97692546130229,47.9765759622128],[-106.97704217944747,47.97649807427013],[-106.97637000703818,47.976313123942525]]]}"
00000000000000000005,1069,0.34109672843672423,0.35731179589106715,0.4204982437091624,0.3945903443134652,0.33436440909157056,0.3175572147895431,0.14634413465490037,0.1519400337369968,0.13702501716991708,0.14736449400540944,0.13469093254359513,0.04727495167566451,676.169556843,162.187898574,467.3009698905197,468.35225183823525,365.5880666994581,351.1327634325214,492.26921829522826,525.9107140933766,"{""type"":""Polygon"",""coordinates"":[[[-106.92462965860558,47.95260028704316],[-106.9246226201099,47.95259148600064],[-106.92461527781197,47.95257371925478],[-106.92459497123406,47.952560711241624],[-106.92458115403568,47.952547498004776],[-106.92456748179656,47.95253884635634],[-106.92363591210811,47.95251870237613],[-106.92370599213119,47.95261577086139],[-106.92464343234332,47.9526134291821],[-106.92462965860558,47.95260028704316]]]}"
00000000000000000006,1074,0.26170898539829385,0.268960952052871,0.26708523682878105,0.2695109426299844,0.2807930142734054,0.32048947939172673,0.05752448793687594,0.07638451444312812,0.08788630873614224,0.08464193571530344,0.08397044654583906,0.04193438202393639,728.066147092,127.738181843,387.92403681137984,560.3347914452646,710.9316376330805,649.431354896695,710.9316376330805,730.3804449941597,"{""type"":""Polygon"",""coordinates"":[[[-106.92368896325756,47.952870674933344],[-106.92361957057662,47.9531531593132],[-106.92368689207487,47.9531743573418],[-106.92384769588332,47.95320743393824],[-106.92417430586308,47.95322878060479],[-106.92368896325756,47.952870674933344]]]}"
00000000000000000007,1369,0.41118285227882667,0.36751104361470366,0.34954009921406154,0.36713518960233377,0.3732364765513195,0.3729430500387385,0.06270822200244842,0.07465012252168954,0.0577694444580559,0.05641208238368276,0.06478126466604472,0.0635256682977298,803.925517127,171.222303981,620.1337800269035,807.7512394923791,762.5548319498699,684.512273840811,684.512273840811,576.5141403497435,"{""type"":""Polygon"",""coordinates"":[[[-106.93342291058046,47.96374798099636],[-106.93342959052602,47.96374790201004],[-106.93345628212927,47.96375186413449],[-106.93346980185888,47.96375611117405],[-106.93352316976447,47.96375968620438],[-106.93361685160367,47.96377596172287],[-106.93362353156861,47.96377588272254],[-106.9336502668073,47.963779915906244],[-106.93367032208955,47.96378402808666],[-106.93369695490179,47.96378356983999],[-106.93371027131069,47.96378334071382],[-106.93371833100755,47.96310880471506],[-106.93342291058046,47.96374798099636]]]}"
00000000000000000008,1062,0.286364550801998,0.2932840082146959,0.3596400741699692,0.3849331688719515,0.36137463162641154,0.2963874260208755,0.05171453991784641,0.0762465757510093,0.06915421739442287,0.0687659626826599,0.07042304669496122,0.057406104413330356,751.708687943,176.296479044,289.63486486696735,521.7106730143229,272.55033401788455,271.7618499157476,306.19208721086096,333.52617761948534,"{""type"":""Polygon"",""coordinates"":[[[-106.92382269054555,47.95181884089129],[-106.9238023413144,47.951805761774885],[-106.9237754163794,47.95179725130557],[-106.92376190346813,47.95179300370328],[-106.92376164335867,47.9517841092297],[-106.92375430166514,47.95176634267778],[-106.92374700347867,47.9517486472337],[-106.92373986405264,47.95173535584095],[-106.9237328259824,47.951726554868436],[-106.92321648559879,47.95232472060945],[-106.9232045035002,47.95236063805013],[-106.92329848814018,47.95238145221919],[-106.92382932413076,47.95181869156006],[-106.92382269054555,47.95181884089129]]]}"
00000000000000000009,3375,0.32952930176441686,0.37900738206811246,0.35616367499814405,0.36683164344654395,0.33934554745716683,0.3738515605903723,0.05138302301884783,0.07266801157747405,0.07924707839391876,0.08352254693007383,0.07945583560469649,0.03582944660542187,500.468142241,120.645281084,494.51127899768306,494.51127899768306,494.51127899768306,494.51127899768306,494.51127899768306,494.51127899768306,"{""type"":""Polygon"",""coordinates"":[[[-107.05039957108683,47.99316631635019],[-107.05028405734001,47.99361055599705],[-107.05029070744169,47.993610397379854],[-107.05039062289345,47.99361312656807],[-107.05055959918155,47.99317683336224],[-107.05039957108683,47.99316631635019]]]}"
