"clusterID_seq","window_type","watershed","year","window_length","catchment_km2","riparian_area_m2","riparian_area_m2_0","riparian_area_m2_10","riparian_area_m2_20","riparian_area_m2_30","TO","p_window","f_window","beav_count_all","beav_count_conf","anthro_count","isAnthro","Nhat","t","SWA","VA_0","VA_10","VA_20","VA_30","NDVI_0","NDVI_10","NDVI_20","NDVI_30","NDVI_sd_0","NDVI_sd_10","NDVI_sd_20","NDVI_sd_30","containsNull"
1,"dammed","BRZ",2019,250,288.19574,4934.08057852229,4928.918052133,10586.404225268,16048.744570938,21504.064598144,50.2425755144097,0.877048369582805,0.0282934728345395,1,0,0,0,1.17338716783622,"5",2790.55129907832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"dammed","BRZ",2019,250,288.19574,4934.08057852229,4928.918052133,10586.404225268,16048.744570938,21504.064598144,50.2425755144097,0.877048369582805,0.0282934728345395,1,0,0,0,1.17338716783622,"6",3101.3207740938,1824.35216695748,6284.64374323826,11716.3447140862,17094.4264789058,0.621891128197616,0.635827330160115,0.654879149088422,0.657271844578271,0.0422480354055217,0.0295768619137688,0.02039480066064,0.0163996531823852,0
1,"dammed","BRZ",2019,250,288.19574,4934.08057852229,4928.918052133,10586.404225268,16048.744570938,21504.064598144,50.2425755144097,0.877048369582805,0.0282934728345395,1,0,0,0,1.17338716783622,"7",2673.75077384944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"dammed","BRZ",2019,250,288.19574,4934.08057852229,4928.918052133,10586.404225268,16048.744570938,21504.064598144,50.2425755144097,0.877048369582805,0.0282934728345395,1,0,0,0,1.17338716783622,"8",4742.11850806989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"undammed","BRZ",2019,250,288.17282,5985.93254742399,5981.3479145769,14300.637342719,18164.074421209,21482.936488126,38.8038209769466,0.912797615019357,0.027996809296161,1,0,0,0,1.12708796590502,"5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"undammed","BRZ",2019,250,288.17282,5985.93254742399,5981.3479145769,14300.637342719,18164.074421209,21482.936488126,38.8038209769466,0.912797615019357,0.027996809296161,1,0,0,0,1.12708796590502,"6",0,6030.53694478951,14139.692564063,17981.4542423024,21288.2495464549,0.48388531045173,0.455255867694921,0.44140747255768,0.439016337626047,0.050067282000367,0.0487949228017537,0.0606063483924688,0.0702123173723803,0
1,"undammed","BRZ",2019,250,288.17282,5985.93254742399,5981.3479145769,14300.637342719,18164.074421209,21482.936488126,38.8038209769466,0.912797615019357,0.027996809296161,1,0,0,0,1.12708796590502,"7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1,"undammed","BRZ",2019,250,288.17282,5985.93254742399,5981.3479145769,14300.637342719,18164.074421209,21482.936488126,38.8038209769466,0.912797615019357,0.027996809296161,1,0,0,0,1.12708796590502,"8",425.924973328207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,"dammed","BRZ",2019,350,288.19574,6470.4373159688,6461.156083962,14084.923363845,21564.815584047,28983.963491181,43.6555662544137,0.871686809822723,0.0227680956537907,3,2,0,0,3.5217874629519,"5",76.0202538053195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,"dammed","BRZ",2019,350,288.19574,6470.4373159688,6461.156083962,14084.923363845,21564.815584047,28983.963491181,43.6555662544137,0.871686809822723,0.0227680956537907,3,2,0,0,3.5217874629519,"6",76.0202538053195,5823.98326149735,13300.0040829528,20744.3739699719,28189.5263688031,0.598159477270614,0.625689193854499,0.629570673863652,0.631589811371786,0.0361233839589955,0.0325072733153882,0.042500077649813,0.0532662701784155,0
3,"dammed","BRZ",2019,350,288.19574,6470.4373159688,6461.156083962,14084.923363845,21564.815584047,28983.963491181,43.6555662544137,0.871686809822723,0.0227680956537907,3,2,0,0,3.5217874629519,"7",76.0202538053195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,"dammed","BRZ",2019,350,288.19574,6470.4373159688,6461.156083962,14084.923363845,21564.815584047,28983.963491181,43.6555662544137,0.871686809822723,0.0227680956537907,3,2,0,0,3.5217874629519,"8",4627.85003531704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,"undammed","BRZ",2019,350,231.1337,29294.9488676414,29331.605867283,35233.247681574,39175.008901614,42905.914208998,34.1237329752604,0.80075621304906,0.0460404090198685,0,0,0,0,0,"5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,"undammed","BRZ",2019,350,231.1337,29294.9488676414,29331.605867283,35233.247681574,39175.008901614,42905.914208998,34.1237329752604,0.80075621304906,0.0460404090198685,0,0,0,0,0,"6",0,26230.6142512901,30947.183103913,34193.1406636855,37388.3365225698,0.427757672516353,0.421985177354875,0.416243798122595,0.41161816739689,0.0747393569488605,0.0734457494222537,0.0746664876919471,0.0763600723404603,0
3,"undammed","BRZ",2019,350,231.1337,29294.9488676414,29331.605867283,35233.247681574,39175.008901614,42905.914208998,34.1237329752604,0.80075621304906,0.0460404090198685,0,0,0,0,0,"7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,"undammed","BRZ",2019,350,231.1337,29294.9488676414,29331.605867283,35233.247681574,39175.008901614,42905.914208998,34.1237329752604,0.80075621304906,0.0460404090198685,0,0,0,0,0,"8",157.554582871643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9,"dammed","BRZ",2019,250,217.81577,17737.0364759937,17743.395536268,22165.622253731,25861.503524248,29678.8694556,36.2792295841673,0.786258347343721,0.0477598669894639,1,0,0,0,1.3356364099191,"5",1302.92556101855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9,"dammed","BRZ",2019,250,217.81577,17737.0364759937,17743.395536268,22165.622253731,25861.503524248,29678.8694556,36.2792295841673,0.786258347343721,0.0477598669894639,1,0,0,0,1.3356364099191,"6",616.682158060635,11211.7667023303,12324.5597818113,12810.8151827345,14043.746691715,0.375551330457559,0.374022101819265,0.372236809517018,0.365916222473959,0.0709538827437631,0.0748016482077014,0.0770597650993246,0.0831315321597953,0
9,"dammed","BRZ",2019,250,217.81577,17737.0364759937,17743.395536268,22165.622253731,25861.503524248,29678.8694556,36.2792295841673,0.786258347343721,0.0477598669894639,1,0,0,0,1.3356364099191,"7",95.6343798338198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9,"dammed","BRZ",2019,250,217.81577,17737.0364759937,17743.395536268,22165.622253731,25861.503524248,29678.8694556,36.2792295841673,0.786258347343721,0.0477598669894639,1,0,0,0,1.3356364099191,"8",242.515722741566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9,"undammed","BRZ",2019,250,219.00797,19699.7773506418,19720.567967896,23631.74298607,27116.081599468,30444.332972033,39.0594166873934,0.847307206516343,0.0386986856079849,0,0,0,0,0,"5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9,"undammed","BRZ",2019,250,219.00797,19699.7773506418,19720.567967896,23631.74298607,27116.081599468,30444.332972033,39.0594166873934,0.847307206516343,0.0386986856079849,0,0,0,0,0,"6",0,19598.4398128435,23453.1126642564,26946.3663228951,30256.9476495481,0.326831345562649,0.316057027095554,0.313508979847839,0.312740980260442,0.0416629908639197,0.0420634136871958,0.0438395345288491,0.0447985984207315,0
9,"undammed","BRZ",2019,250,219.00797,19699.7773506418,19720.567967896,23631.74298607,27116.081599468,30444.332972033,39.0594166873934,0.847307206516343,0.0386986856079849,0,0,0,0,0,"7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9,"undammed","BRZ",2019,250,219.00797,19699.7773506418,19720.567967896,23631.74298607,27116.081599468,30444.332972033,39.0594166873934,0.847307206516343,0.0386986856079849,0,0,0,0,0,"8",284.156802474517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12,"dammed","BRZ",2019,470,197.2321,17264.5772087239,17305.2994835651,35294.180894722,43752.64983604,49203.742611413,34.1320053497412,0.855422287569243,0.030140301353669,5,1,0,0,6.02671327130722,"5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
